2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,CM3105 Web Security (see comment),CM3108 Software Engineering And Project Management,CM3110 Mobile App Development,CM3111 Big Data Analytics (see comment),CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),CM3038 Artificial Intellikgence for Problem Solving,CM3112 3D Modelling (see comment)
2.1.2 Use of such knowledge in modelling and design,,CM3104 Computer Security and Cryptography,,CM3108 Software Engineering And Project Management,CM3110 Mobile App Development,CM3111 Big Data Analytics (see comment),CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),CM3038 Artificial Intellikgence for Problem Solving,CM3112 3D Modelling (see comment)
2.1.3 Problem solving strategies,CM3102 Operating Systems,,CM3105 Web Security (see comment),CM3108 Software Engineering And Project Management,CM3110 Mobile App Development,CM3111 Big Data Analytics (see comment),CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),CM3038 Artificial Intellikgence for Problem Solving,
2.1.4 Analyse if/how a system meets current and future requirements,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,,,CM3110 Mobile App Development,CM3111 Big Data Analytics (see comment),CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),,
2.1.5 Deploy theory in design implementation and evaluation of systems,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,,,,,,CM3113 Concurrent Programming,,CM3038 Artificial Intellikgence for Problem Solving,CM3112 3D Modelling (see comment)
2.1.6 Recognise legal social ethical & professional issues,,CM3104 Computer Security and Cryptography,,CM3108 Software Engineering And Project Management,,,,,,,
2.1.7 Knowledge and understanding of commercial and economic issues,CM3102 Operating Systems,,,,CM3110 Mobile App Development,,,,,,
2.1.8 Knowledge of management techniques to achieve objectives,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,CM3105 Web Security (see comment),CM3108 Software Engineering And Project Management,,,CM3115 C++ for Graphics (see comment),,CM3116 Graphics Development (see comment),,
2.1.9 Knowledge of information security issues,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,CM3105 Web Security (see comment),CM3108 Software Engineering And Project Management,CM3110 Mobile App Development,,,CM3113 Concurrent Programming,,,
2.2.1 Specify design or construct computer-based systems,CM3102 Operating Systems,,,,CM3110 Mobile App Development,,CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),CM3038 Artificial Intellikgence for Problem Solving,
2.2.2 Evaluate systems in terms of quality and trade-offs,,CM3104 Computer Security and Cryptography,CM3105 Web Security (see comment),CM3108 Software Engineering And Project Management,,,,CM3113 Concurrent Programming,,CM3038 Artificial Intellikgence for Problem Solving,CM3112 3D Modelling (see comment)
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,,CM3108 Software Engineering And Project Management,,,,CM3113 Concurrent Programming,,,
2.2.4 Deploy tools effectively,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,CM3105 Web Security (see comment),CM3108 Software Engineering And Project Management,CM3110 Mobile App Development,CM3111 Big Data Analytics (see comment),CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),,CM3112 3D Modelling (see comment)
2.3.1 Work as a member of a development team,,,,CM3108 Software Engineering And Project Management,,,,,,,CM3112 3D Modelling (see comment)
2.3.2 Development of general transferable skills,CM3102 Operating Systems,,,CM3108 Software Engineering And Project Management,,CM3111 Big Data Analytics (see comment),CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),CM3038 Artificial Intellikgence for Problem Solving,CM3112 3D Modelling (see comment)
3.1.1 Deploy systems to meet business goals,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,,CM3108 Software Engineering And Project Management,,,,CM3113 Concurrent Programming,,,
3.1.2 Methods techniques and tools for information modelling management and security,CM3102 Operating Systems,,CM3105 Web Security (see comment),,,CM3111 Big Data Analytics (see comment),,CM3113 Concurrent Programming,,CM3038 Artificial Intellikgence for Problem Solving,
3.1.3 Knowledge of systems architecture,CM3102 Operating Systems,,CM3105 Web Security (see comment),,CM3110 Mobile App Development,,,CM3113 Concurrent Programming,,,
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,,CM3104 Computer Security and Cryptography,,,,CM3111 Big Data Analytics (see comment),CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),CM3038 Artificial Intellikgence for Problem Solving,CM3112 3D Modelling (see comment)
3.2.1 Specify deploy verify and maintain information systems,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,CM3105 Web Security (see comment),,,,,CM3113 Concurrent Programming,,CM3038 Artificial Intellikgence for Problem Solving,
3.2.2 Defining problems managing design process and evaluating outcomes,CM3102 Operating Systems,CM3104 Computer Security and Cryptography,,CM3108 Software Engineering And Project Management,,CM3111 Big Data Analytics (see comment),CM3115 C++ for Graphics (see comment),CM3113 Concurrent Programming,CM3116 Graphics Development (see comment),CM3038 Artificial Intellikgence for Problem Solving,CM3112 3D Modelling (see comment)
