2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,CM4106 Languages and Compilers,CM4107 Advanced Artificial Intelligence,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),CM4025 Enterprise Web Systems
2.1.2 Use of such knowledge in modelling and design,,CM4105 Honours Individual Project,CM4106 Languages and Compilers,,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),CM4025 Enterprise Web Systems
2.1.3 Problem solving strategies,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),,CM4114 Games Development (see comment),
2.1.4 Analyse if/how a system meets current and future requirements,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,CM4106 Languages and Compilers,,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),CM4025 Enterprise Web Systems
2.1.5 Deploy theory in design implementation and evaluation of systems,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,CM4106 Languages and Compilers,CM4107 Advanced Artificial Intelligence,CM4108 Cloud Computing (see comment),,CM4114 Games Development (see comment),
2.1.6 Recognise legal social ethical & professional issues,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,CM4107 Advanced Artificial Intelligence,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),CM4025 Enterprise Web Systems
2.1.7 Knowledge and understanding of commercial and economic issues,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),,,CM4025 Enterprise Web Systems
2.1.8 Knowledge of management techniques to achieve objectives,,CM4105 Honours Individual Project,,,,,,
2.1.9 Knowledge of information security issues,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),,,CM4025 Enterprise Web Systems
2.2.1 Specify design or construct computer-based systems,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,CM4106 Languages and Compilers,CM4107 Advanced Artificial Intelligence,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),CM4025 Enterprise Web Systems
2.2.2 Evaluate systems in terms of quality and trade-offs,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,,CM4025 Enterprise Web Systems
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),
2.2.4 Deploy tools effectively,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),,CM4114 Games Development (see comment),
2.3.1 Work as a member of a development team,,,,,,,,
2.3.2 Development of general transferable skills,,CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),
3.1.1 Deploy systems to meet business goals,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),,,CM4025 Enterprise Web Systems
3.1.2 Methods techniques and tools for information modelling management and security,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,,CM4025 Enterprise Web Systems
3.1.3 Knowledge of systems architecture,,CM4105 Honours Individual Project,CM4106 Languages and Compilers,,CM4108 Cloud Computing (see comment),,CM4114 Games Development (see comment),CM4025 Enterprise Web Systems
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,,CM4105 Honours Individual Project,CM4106 Languages and Compilers,,,CM4110 Human Computer Interaction,CM4114 Games Development (see comment),
3.2.1 Specify deploy verify and maintain information systems,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),,,CM4025 Enterprise Web Systems
3.2.2 Defining problems managing design process and evaluating outcomes,,CM4105 Honours Individual Project,,CM4107 Advanced Artificial Intelligence,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),CM4025 Enterprise Web Systems
3.2.3 System Design,,CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),CM4110 Human Computer Interaction,CM4114 Games Development (see comment),
4.1.1 Knowledge and understanding of scientific and engineering principles,,CM4105 Honours Individual Project,CM4106 Languages and Compilers,,CM4108 Cloud Computing (see comment),,,
4.1.2 Knowledge and understanding of mathematical and statistical principles,,CM4105 Honours Individual Project,,,,,,
4.1.3 Knowledge and understanding of computational modelling,,CM4105 Honours Individual Project,CM4106 Languages and Compilers,,CM4108 Cloud Computing (see comment),,,
4.2.1 Specify deploy verify and maintain computer-based systems,CM4103 Ethical Hacking (see comment),CM4105 Honours Individual Project,,,CM4108 Cloud Computing (see comment),,,CM4025 Enterprise Web Systems
4.2.2 Defining problems managing design process and evaluating outcomes,,CM4105 Honours Individual Project,CM4106 Languages and Compilers,CM4107 Advanced Artificial Intelligence,CM4108 Cloud Computing (see comment),,,CM4025 Enterprise Web Systems
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,,CM4105 Honours Individual Project,CM4106 Languages and Compilers,,CM4108 Cloud Computing (see comment),,,
