source,target,value
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1100 Introduction to Computing,1
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1101 Computing Information Systems,1
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1102 Problem Solving And Modelling,1
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1103 Computer Systems & Networking,1
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1104 Object Oriented Programming,1
2.1.2 Use of such knowledge in modelling and design,CM1101 Computing Information Systems,1
2.1.2 Use of such knowledge in modelling and design,CM1102 Problem Solving And Modelling,1
2.1.2 Use of such knowledge in modelling and design,CM1104 Object Oriented Programming,1
2.1.3 Problem solving strategies,CM1100 Introduction to Computing,1
2.1.3 Problem solving strategies,CM1102 Problem Solving And Modelling,1
2.1.3 Problem solving strategies,CM1104 Object Oriented Programming,1
2.1.4 Analyse if or how a system meets current and future requirements,CM1100 Introduction to Computing,1
2.1.4 Analyse if or how a system meets current and future requirements,CM1101 Computing Information Systems,1
2.1.4 Analyse if or how a system meets current and future requirements,CM1102 Problem Solving And Modelling,1
2.1.4 Analyse if or how a system meets current and future requirements,CM1104 Object Oriented Programming,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM1104 Object Oriented Programming,1
2.1.6 Recognise legal social ethical and professional issues,CM1101 Computing Information Systems,1
2.1.9 Knowledge of information security issues,CM1101 Computing Information Systems,1
2.1.9 Knowledge of information security issues,CM1104 Object Oriented Programming,1
2.2.1 Specify design or construct computer-based systems,CM1100 Introduction to Computing,1
2.2.1 Specify design or construct computer-based systems,CM1101 Computing Information Systems,1
2.2.1 Specify design or construct computer-based systems,CM1104 Object Oriented Programming,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM1101 Computing Information Systems,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM1101 Computing Information Systems,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM1104 Object Oriented Programming,1
2.2.4 Deploy tools effectively,CM1104 Object Oriented Programming,1
2.3.1 Work as a member of a development team,CM1101 Computing Information Systems,1
2.3.1 Work as a member of a development team,CM1102 Problem Solving And Modelling,1
2.3.2 Development of general transferable skills,CM1100 Introduction to Computing,1
2.3.2 Development of general transferable skills,CM1101 Computing Information Systems,1
2.3.2 Development of general transferable skills,CM1102 Problem Solving And Modelling,1
3.1.2 Methods techniques and tools for information modelling management and security,CM1101 Computing Information Systems,1
3.1.2 Methods techniques and tools for information modelling management and security,CM1104 Object Oriented Programming,1
3.1.3 Knowledge of systems architecture,CM1103 Computer Systems & Networking,1
3.1.3 Knowledge of systems architecture,CM1104 Object Oriented Programming,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM1102 Problem Solving And Modelling,1
3.2.1 Specify deploy verify and maintain information systems,CM1101 Computing Information Systems,1
3.2.1 Specify deploy verify and maintain information systems,CM1104 Object Oriented Programming,1
3.2.3 System Design,CM1102 Problem Solving And Modelling,1
3.2.3 System Design,CM1104 Object Oriented Programming,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM1104 Object Oriented Programming,1
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM1102 Problem Solving And Modelling,1
4.1.3 Knowledge and understanding of computational modelling,CM1104 Object Oriented Programming,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM1100 Introduction to Computing,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM1101 Computing Information Systems,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM1104 Object Oriented Programming,1
CM1100 Introduction to Computing,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1102 Problem Solving And Modelling,CM2100 Advanced Software Design and Development,1
CM1103 Computer Systems & Networking,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1100 Introduction to Computing,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2101 Database Systems,1
CM1102 Problem Solving And Modelling,CM2101 Database Systems,1
CM1103 Computer Systems & Networking,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1100 Introduction to Computing,CM2103 Routing and Switching,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1102 Problem Solving And Modelling,CM2103 Routing and Switching,1
CM1103 Computer Systems & Networking,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1100 Introduction to Computing,CM2110 Internet of Things,1
CM1101 Computing Information Systems,CM2110 Internet of Things,1
CM1102 Problem Solving And Modelling,CM2110 Internet of Things,1
CM1103 Computer Systems & Networking,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1100 Introduction to Computing,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2104 Dynamic Web Development,1
CM1102 Problem Solving And Modelling,CM2104 Dynamic Web Development,1
CM1103 Computer Systems & Networking,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1102 Problem Solving And Modelling,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2101 Database Systems,1
CM1102 Problem Solving And Modelling,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2103 Routing and Switching,1
CM1102 Problem Solving And Modelling,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1101 Computing Information Systems,CM2110 Internet of Things,1
CM1102 Problem Solving And Modelling,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1100 Introduction to Computing,CM2100 Advanced Software Design and Development,1
CM1102 Problem Solving And Modelling,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1100 Introduction to Computing,CM2101 Database Systems,1
CM1102 Problem Solving And Modelling,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1100 Introduction to Computing,CM2112 Real World Project and Professional Skills,1
CM1102 Problem Solving And Modelling,CM2112 Real World Project and Professional Skills,1
CM1104 Object Oriented Programming,CM2112 Real World Project and Professional Skills,1
CM1100 Introduction to Computing,CM2103 Routing and Switching,1
CM1102 Problem Solving And Modelling,CM2103 Routing and Switching,1
CM1104 Object Oriented Programming,CM2103 Routing and Switching,1
CM1100 Introduction to Computing,CM2110 Internet of Things,1
CM1102 Problem Solving And Modelling,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1100 Introduction to Computing,CM2100 Advanced Software Design and Development,1
CM1101 Computing Information Systems,CM2100 Advanced Software Design and Development,1
CM1102 Problem Solving And Modelling,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1100 Introduction to Computing,CM2101 Database Systems,1
CM1101 Computing Information Systems,CM2101 Database Systems,1
CM1102 Problem Solving And Modelling,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1100 Introduction to Computing,CM2112 Real World Project and Professional Skills,1
CM1101 Computing Information Systems,CM2112 Real World Project and Professional Skills,1
CM1102 Problem Solving And Modelling,CM2112 Real World Project and Professional Skills,1
CM1104 Object Oriented Programming,CM2112 Real World Project and Professional Skills,1
CM1100 Introduction to Computing,CM2110 Internet of Things,1
CM1101 Computing Information Systems,CM2110 Internet of Things,1
CM1102 Problem Solving And Modelling,CM2110 Internet of Things,1
CM1104 Object Oriented Programming,CM2110 Internet of Things,1
CM1100 Introduction to Computing,CM2104 Dynamic Web Development,1
CM1101 Computing Information Systems,CM2104 Dynamic Web Development,1
CM1102 Problem Solving And Modelling,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2104 Dynamic Web Development,1
CM1104 Object Oriented Programming,CM2100 Advanced Software Design and Development,1
CM1104 Object Oriented Programming,CM2101 Database Systems,1
CM1104 Object Oriented Programming,CM2112 Real World Project and Professional Skills,1
