target, source, value
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1100 Introduction to Computing,1
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1101 Computing Information Systems,1
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1102 Problem Solving And Modelling,1
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1103 Computer Systems & Networking,1
2.1.1 Knowledge and understanding of facts concepts principles and theories,CM1104 Object Oriented Programming,1
2.1.2 Use of such knowledge in modelling and design,CM1101 Computing Information Systems,1
2.1.2 Use of such knowledge in modelling and design,CM1102 Problem Solving And Modelling,1
2.1.2 Use of such knowledge in modelling and design,CM1104 Object Oriented Programming,1
2.1.3 Problem solving strategies,CM1100 Introduction to Computing,1
2.1.3 Problem solving strategies,CM1102 Problem Solving And Modelling,1
2.1.3 Problem solving strategies,CM1104 Object Oriented Programming,1
2.1.4 Analyse if or how a system meets current and future requirements,CM1100 Introduction to Computing,1
2.1.4 Analyse if or how a system meets current and future requirements,CM1101 Computing Information Systems,1
2.1.4 Analyse if or how a system meets current and future requirements,CM1102 Problem Solving And Modelling,1
2.1.4 Analyse if or how a system meets current and future requirements,CM1104 Object Oriented Programming,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM1104 Object Oriented Programming,1
2.1.6 Recognise legal social ethical and professional issues,CM1101 Computing Information Systems,1
2.1.9 Knowledge of information security issues,CM1101 Computing Information Systems,1
2.1.9 Knowledge of information security issues,CM1104 Object Oriented Programming,1
2.2.1 Specify design or construct computer-based systems,CM1100 Introduction to Computing,1
2.2.1 Specify design or construct computer-based systems,CM1101 Computing Information Systems,1
2.2.1 Specify design or construct computer-based systems,CM1104 Object Oriented Programming,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM1101 Computing Information Systems,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM1101 Computing Information Systems,1
2.2.3 Recognise risk/safety for safe operation of computing and information systems,CM1104 Object Oriented Programming,1
2.2.4 Deploy tools effectively,CM1104 Object Oriented Programming,1
2.3.1 Work as a member of a development team,CM1101 Computing Information Systems,1
2.3.1 Work as a member of a development team,CM1102 Problem Solving And Modelling,1
2.3.2 Development of general transferable skills,CM1100 Introduction to Computing,1
2.3.2 Development of general transferable skills,CM1101 Computing Information Systems,1
2.3.2 Development of general transferable skills,CM1102 Problem Solving And Modelling,1
3.1.2 Methods techniques and tools for information modelling management and security,CM1101 Computing Information Systems,1
3.1.2 Methods techniques and tools for information modelling management and security,CM1104 Object Oriented Programming,1
3.1.3 Knowledge of systems architecture,CM1103 Computer Systems & Networking,1
3.1.3 Knowledge of systems architecture,CM1104 Object Oriented Programming,1
3.1.4 Knowledge and understanding of mathematical and/or statistical principles ,CM1102 Problem Solving And Modelling,1
3.2.1 Specify deploy verify and maintain information systems,CM1101 Computing Information Systems,1
3.2.1 Specify deploy verify and maintain information systems,CM1104 Object Oriented Programming,1
3.2.3 System Design,CM1102 Problem Solving And Modelling,1
3.2.3 System Design,CM1104 Object Oriented Programming,1
4.1.1 Knowledge and understanding of scientific and engineering principles,CM1104 Object Oriented Programming,1
4.1.2 Knowledge and understanding of mathematical and statistical principles,CM1102 Problem Solving And Modelling,1
4.1.3 Knowledge and understanding of computational modelling,CM1104 Object Oriented Programming,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM1100 Introduction to Computing,1
4.2.1 Specify deploy verify and maintain computer-based systems,CM1101 Computing Information Systems,1
4.2.3 Principles of appropriate supporting engineering and scientific disciplines,CM1104 Object Oriented Programming,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM2100 Advanced Software Design and Development,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM2101 Database Systems,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM2103 Routing and Switching,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM2110 Internet of Things,1
2.1.1 Knowledge and  understanding of facts concepts principles and theories,CM2104 Dynamic Web Development,1
2.1.2 Use of such knowledge in modelling and design,CM2100 Advanced Software Design and Development,1
2.1.2 Use of such knowledge in modelling and design,CM2101 Database Systems,1
2.1.2 Use of such knowledge in modelling and design,CM2103 Routing and Switching,1
2.1.2 Use of such knowledge in modelling and design,CM2110 Internet of Things,1
2.1.3 Problem solving strategies,CM2100 Advanced Software Design and Development,1
2.1.3 Problem solving strategies,CM2101 Database Systems,1
2.1.3 Problem solving strategies,CM2112 Real World Project and Professional Skills,1
2.1.3 Problem solving strategies,CM2103 Routing and Switching,1
2.1.3 Problem solving strategies,CM2110 Internet of Things,1
2.1.4 Analyse if/how a system meets current and future requirements,CM2100 Advanced Software Design and Development,1
2.1.4 Analyse if/how a system meets current and future requirements,CM2101 Database Systems,1
2.1.4 Analyse if/how a system meets current and future requirements,CM2112 Real World Project and Professional Skills,1
2.1.4 Analyse if/how a system meets current and future requirements,CM2110 Internet of Things,1
2.1.4 Analyse if/how a system meets current and future requirements,CM2104 Dynamic Web Development,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM2100 Advanced Software Design and Development,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM2101 Database Systems,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM2112 Real World Project and Professional Skills,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM2103 Routing and Switching,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM2110 Internet of Things,1
2.1.5 Deploy theory in design implementation and evaluation of systems,CM2104 Dynamic Web Development,1
2.1.6 Recognise legal social ethical & professional issues,CM2112 Real World Project and Professional Skills,1
2.1.7 Knowledge and understanding of commercial and economic issues,CM2101 Database Systems,1
2.1.7 Knowledge and understanding of commercial and economic issues,CM2104 Dynamic Web Development,1
2.1.8 Knowledge of management techniques to achieve objectives,CM2112 Real World Project and Professional Skills,1
2.1.8 Knowledge of management techniques to achieve objectives,CM2103 Routing and Switching,1
2.1.9 Knowledge of information security issues,CM2100 Advanced Software Design and Development,1
2.1.9 Knowledge of information security issues,CM2103 Routing and Switching,1
2.2.1 Specify design or construct computer-based systems,CM2100 Advanced Software Design and Development,1
2.2.1 Specify design or construct computer-based systems,CM2101 Database Systems,1
2.2.1 Specify design or construct computer-based systems,CM2112 Real World Project and Professional Skills,1
2.2.1 Specify design or construct computer-based systems,CM2103 Routing and Switching,1
2.2.1 Specify design or construct computer-based systems,CM2110 Internet of Things,1
2.2.1 Specify design or construct computer-based systems,CM2104 Dynamic Web Development,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM2100 Advanced Software Design and Development,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM2101 Database Systems,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM2103 Routing and Switching,1
2.2.2 Evaluate systems in terms of quality and trade-offs,CM2110 Internet of Things,1
2.2.4 Deploy tools effectively,CM2100 Advanced Software Design and Development,1
2.2.4 Deploy tools effectively,CM2101 Database Systems,1
2.2.4 Deploy tools effectively,CM2112 Real World Project and Professional Skills,1
2.2.4 Deploy tools effectively,CM2103 Routing and Switching,1
2.2.4 Deploy tools effectively,CM2110 Internet of Things,1
2.2.4 Deploy tools effectively,CM2104 Dynamic Web Development,1
2.3.1 Work as a member of a development team,CM2112 Real World Project and Professional Skills,1
2.3.1 Work as a member of a development team,CM2110 Internet of Things,1
2.3.1 Work as a member of a development team,CM2104 Dynamic Web Development,1
2.3.2 Development of general transferable skills,CM2100 Advanced Software Design and Development,1
2.3.2 Development of general transferable skills,CM2112 Real World Project and Professional Skills,1
2.3.2 Development of general transferable skills,CM2103 Routing and Switching,1
2.3.2 Development of general transferable skills,CM2104 Dynamic Web Development,1
3.1.1 Deploy systems to meet business goals,CM2100 Advanced Software Design and Development,1
3.1.1 Deploy systems to meet business goals,CM2101 Database Systems,1
3.1.1 Deploy systems to meet business goals,CM2112 Real World Project and Professional Skills,1
3.1.1 Deploy systems to meet business goals,CM2103 Routing and Switching,1
3.1.1 Deploy systems to meet business goals,CM2104 Dynamic Web Development,1
3.1.2 Methods techniques and tools for information modelling management and security,CM2100 Advanced Software Design and Development,1
3.1.2 Methods techniques and tools for information modelling management and security,CM2101 Database Systems,1
