_id,abilities,collect_from,collection,collection_geoloc,company,deliver_by,delivery,delivery_geoloc,id,info,inputItemEventDate,item_name,job_id,list_of_vehicle_type,load_size,maxDate,minDate,nb_of_items_on_job,nb_of_vehicles,order_no,platform,platformKey,requested_by,scenarioKey,task_info,vessel,vesselArrivalEventDate,vesselArrivalEventId,vesselDepartureEventDate,vesselDepartureEventId,vesselLoadEventDate,vesselLoadEventId,vesselUnloadEventDate,vesselUnloadEventId,startLocId,endLocId,isOutbound,vesselId,isOnSpotVessel
ObjectId(59cd25c93ad3963c706ee3b1),,Sat Aug 27 2016 09:00:00 GMT+0100 (GMT),"Odfjell, Crawpeel Rd Altens","-2.084740199999942,57.1138775",Shell,Sat Aug 27 2016 12:00:00 GMT+0100 (GMT),SBS Torry Dock,"-2.0774459838867188,57.13810229016563",1,,2017-09-24T23:00:00.000Z,1 x 22' Elevator Link,1002272,Artic,0.1111111111111111,2017-09-30T08:12:32.000Z,2017-09-24T23:00:00.000Z,9,3,Shipping,MUNGO,u2CfngKTDDbxE7BXW,Shipping 470937,4cus6wt5ojQmn5G3Y,Noble Hans Duel - Geoff McRobbie,M7uTXtfbBz7rBhgGa,2017-09-30T08:12:32.000Z,59cd25c83ad3963c706ee3a4,2017-09-25T14:50:00.000Z,59cd25c83ad3963c706ee393,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee389,2017-09-30T08:12:32.000Z,59cd25c93ad3963c706ee3ae,1,203,true,1,true
ObjectId(59cd25c93ad3963c706ee3b2),,Sat Aug 27 2016 09:00:00 GMT+0100 (GMT),"Odfjell, Crawpeel Rd Altens","-2.084740199999942,57.1138775",Shell,Sat Aug 27 2016 12:00:00 GMT+0100 (GMT),SBS Torry Dock,"-2.0774459838867188,57.13810229016563",2,,2017-09-24T23:00:00.000Z,"1 x 12' Basket (FB-3,7-267)",1002272,Artic,0.1111111111111111,2017-09-30T08:12:32.000Z,2017-09-24T23:00:00.000Z,9,3,Shipping,MUNGO,u2CfngKTDDbxE7BXW,Shipping 470937,4cus6wt5ojQmn5G3Y,Noble Hans Duel - Geoff McRobbie,M7uTXtfbBz7rBhgGa,2017-09-30T08:12:32.000Z,59cd25c83ad3963c706ee3a4,2017-09-25T14:50:00.000Z,59cd25c83ad3963c706ee393,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee389,2017-09-30T08:12:32.000Z,59cd25c93ad3963c706ee3ae,1,203,true,1,true
ObjectId(59cd25c93ad3963c706ee3b3),,Sat Aug 27 2016 09:00:00 GMT+0100 (GMT),"Odfjell, Crawpeel Rd Altens","-2.084740199999942,57.1138775",Shell,Sat Aug 27 2016 12:00:00 GMT+0100 (GMT),SBS Torry Dock,"-2.0774459838867188,57.13810229016563",3,,2017-09-24T23:00:00.000Z,"1 x 12' Basket (FB-3,7-258)",1002272,Artic,0.1111111111111111,2017-09-30T08:12:32.000Z,2017-09-24T23:00:00.000Z,9,3,Shipping,MUNGO,u2CfngKTDDbxE7BXW,Shipping 470937,4cus6wt5ojQmn5G3Y,Noble Hans Duel - Geoff McRobbie,M7uTXtfbBz7rBhgGa,2017-09-30T08:12:32.000Z,59cd25c83ad3963c706ee3a4,2017-09-25T14:50:00.000Z,59cd25c83ad3963c706ee393,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee389,2017-09-30T08:12:32.000Z,59cd25c93ad3963c706ee3ae,1,203,true,1,true
ObjectId(59cd25c93ad3963c706ee3b4),,Sat Aug 27 2016 09:00:00 GMT+0100 (GMT),"Odfjell, Crawpeel Rd Altens","-2.084740199999942,57.1138775",Shell,Sat Aug 27 2016 12:00:00 GMT+0100 (GMT),SBS Torry Dock,"-2.0774459838867188,57.13810229016563",4,,2017-09-24T23:00:00.000Z,1 x 11' Open Top (OT-11-069),1002272,Artic,0.1111111111111111,2017-09-30T05:00:00.000Z,2017-09-24T23:00:00.000Z,9,3,Shipping,MUNGO,u2CfngKTDDbxE7BXW,Shipping 470937,4cus6wt5ojQmn5G3Y,Noble Hans Duel - Geoff McRobbie,Kuqr5iN5abrbghCeW,2017-09-30T03:25:00.000Z,59cd25c83ad3963c706ee37f,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee374,2017-09-25T05:00:00.000Z,59cd25c83ad3963c706ee36d,2017-09-30T05:00:00.000Z,59cd25c83ad3963c706ee386,1,203,true,17,true
ObjectId(59cd25c93ad3963c706ee3b5),,Sat Aug 27 2016 09:00:00 GMT+0100 (GMT),"Odfjell, Crawpeel Rd Altens","-2.084740199999942,57.1138775",Shell,Sat Aug 27 2016 12:00:00 GMT+0100 (GMT),SBS Torry Dock,"-2.0774459838867188,57.13810229016563",5,,2017-09-24T23:00:00.000Z,1 x Mini (62362),1002272,Artic,0.1111111111111111,2017-09-30T05:00:00.000Z,2017-09-24T23:00:00.000Z,9,3,Shipping,MUNGO,u2CfngKTDDbxE7BXW,Shipping 470937,4cus6wt5ojQmn5G3Y,Noble Hans Duel - Geoff McRobbie,Kuqr5iN5abrbghCeW,2017-09-30T03:25:00.000Z,59cd25c83ad3963c706ee37f,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee374,2017-09-25T05:00:00.000Z,59cd25c83ad3963c706ee36d,2017-09-30T05:00:00.000Z,59cd25c83ad3963c706ee386,1,203,true,17,true
ObjectId(59cd25c93ad3963c706ee3b6),,Wed Aug 24 2016 09:00:00 GMT+0100 (GMT),"Swire East, Altens","-2.0642709732055664,57.11734815677611",BP,Wed Aug 24 2016 13:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",6,,2017-09-24T23:00:00.000Z,1 x Shelved Mini,1001662,Artic,0.09090909090909091,2017-09-30T08:12:32.000Z,2017-09-24T23:00:00.000Z,11,2,CCU,MUNGO,u2CfngKTDDbxE7BXW,Ron Hutchison,4cus6wt5ojQmn5G3Y,ASCO - BP Clair,M7uTXtfbBz7rBhgGa,2017-09-30T08:12:32.000Z,59cd25c83ad3963c706ee3a4,2017-09-25T14:50:00.000Z,59cd25c83ad3963c706ee393,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee389,2017-09-30T08:12:32.000Z,59cd25c93ad3963c706ee3ae,1,203,true,1,true
ObjectId(59cd25c93ad3963c706ee3b7),,Wed Aug 24 2016 09:00:00 GMT+0100 (GMT),"Swire East, Altens","-2.0642709732055664,57.11734815677611",BP,Wed Aug 24 2016 13:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",7,,2017-09-24T23:00:00.000Z,1 x Shelved Mini,1001662,Artic,0.09090909090909091,2017-09-30T08:12:32.000Z,2017-09-24T23:00:00.000Z,11,2,CCU,MUNGO,u2CfngKTDDbxE7BXW,Ron Hutchison,4cus6wt5ojQmn5G3Y,ASCO - BP Clair,M7uTXtfbBz7rBhgGa,2017-09-30T08:12:32.000Z,59cd25c83ad3963c706ee3a4,2017-09-25T14:50:00.000Z,59cd25c83ad3963c706ee393,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee389,2017-09-30T08:12:32.000Z,59cd25c93ad3963c706ee3ae,1,203,true,1,true
ObjectId(59cd25c93ad3963c706ee3b8),,Wed Aug 24 2016 09:00:00 GMT+0100 (GMT),"Swire East, Altens","-2.0642709732055664,57.11734815677611",BP,Wed Aug 24 2016 13:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",8,,2017-09-24T23:00:00.000Z,1 x Shelved Mini,1001662,Artic,0.09090909090909091,2017-09-30T05:00:00.000Z,2017-09-24T23:00:00.000Z,11,2,CCU,MUNGO,u2CfngKTDDbxE7BXW,Ron Hutchison,4cus6wt5ojQmn5G3Y,ASCO - BP Clair,Kuqr5iN5abrbghCeW,2017-09-30T03:25:00.000Z,59cd25c83ad3963c706ee37f,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee374,2017-09-25T05:00:00.000Z,59cd25c83ad3963c706ee36d,2017-09-30T05:00:00.000Z,59cd25c83ad3963c706ee386,1,203,true,17,true
ObjectId(59cd25c93ad3963c706ee3b9),,Wed Aug 24 2016 09:00:00 GMT+0100 (GMT),"Swire East, Altens","-2.0642709732055664,57.11734815677611",BP,Wed Aug 24 2016 13:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",9,,2017-09-24T23:00:00.000Z,1 x Shelved Mini,1001662,Artic,0.09090909090909091,2017-09-30T05:00:00.000Z,2017-09-24T23:00:00.000Z,11,2,CCU,MUNGO,u2CfngKTDDbxE7BXW,Ron Hutchison,4cus6wt5ojQmn5G3Y,ASCO - BP Clair,Kuqr5iN5abrbghCeW,2017-09-30T03:25:00.000Z,59cd25c83ad3963c706ee37f,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee374,2017-09-25T05:00:00.000Z,59cd25c83ad3963c706ee36d,2017-09-30T05:00:00.000Z,59cd25c83ad3963c706ee386,1,203,true,17,true
ObjectId(59cd25c93ad3963c706ee3ba),,Wed Aug 24 2016 09:00:00 GMT+0100 (GMT),"Swire East, Altens","-2.0642709732055664,57.11734815677611",BP,Wed Aug 24 2016 13:00:00 GMT+0100 (GMT),"ASCO, Albert Quay BP","-2.0829927921295166,57.14157764477307",10,,2017-09-24T23:00:00.000Z,1 x Shelved Mini,1001662,Artic,0.09090909090909091,2017-09-30T08:12:32.000Z,2017-09-24T23:00:00.000Z,11,2,CCU,MUNGO,u2CfngKTDDbxE7BXW,Ron Hutchison,4cus6wt5ojQmn5G3Y,ASCO - BP Clair,M7uTXtfbBz7rBhgGa,2017-09-30T08:12:32.000Z,59cd25c83ad3963c706ee3a4,2017-09-25T14:50:00.000Z,59cd25c83ad3963c706ee393,2017-09-25T08:50:00.000Z,59cd25c83ad3963c706ee389,2017-09-30T08:12:32.000Z,59cd25c93ad3963c706ee3ae,1,203,true,1,true
